time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
5529600.00000000,-6396134576.51969433,95131288376.13893127,-81422410201.96238708,-95342800711.26673889,-186831058042.21325684,99610019701.74905396,-3682031068.08365774,-4275052427.96034718,129975993050.70397949
5616000.00000000,-6506816820.33345032,94971849764.50747681,-81011769224.09933472,-95192796579.66708374,-186453909830.21282959,99595004212.10635376,-3801682394.91611767,-4409702375.42144680,129520907318.01785278
5702400.00000000,-6617882375.44154072,94809503184.19233704,-80596952012.37843323,-95040182855.50952148,-186070936424.10836792,99579591358.19281006,-3923464175.18857193,-4546542556.13197517,129060998657.28025818
5788800.00000000,-6729332388.94034290,94644227035.58866882,-80177934796.62266541,-94884944530.10403442,-185682103478.58853149,99563773163.66778564,-4047389983.72055578,-4685580315.89724064,128596245332.11056519
5875200.00000000,-6841168059.01533222,94475999235.95858765,-79754693344.65856934,-94727066255.64790344,-185287375856.72229004,99547541437.38740540,-4173473670.58295441,-4826823188.22588921,128126625243.43582153
5961600.00000000,-6953390636.40513039,94304797206.60420227,-79327202952.55476379,-94566532337.52217102,-184886717611.17584229,99530887765.50903320,-4301729366.97143364,-4970278897.07933712,127652115925.18443298
6048000.00000000,-7066001425.93166065,94130597859.57673645,-78895438434.57388306,-94403326726.32733154,-184480091964.76455688,99513803503.25193787,-4432171491.25811386,-5115955359.70629120,127172694539.96543884
6134400.00000000,-7179001788.09967995,93953377583.90205383,-78459374112.82858276,-94237433009.64817810,-184067461290.31307983,99496279766.29638672,-4564814755.22725010,-5263860689.56441498,126688337874.73936462
6220800.00000000,-7292393140.76915836,93773112231.30155945,-78018983806.63180542,-94068834403.53767395,-183648787089.79562378,99478307421.80230713,-4699674170.50090027,-5414003199.33126068,126199022336.48748779
6307200.00000000,-7406176960.90417767,93589777101.38684082,-77574240821.53135681,-93897513743.70904541,-183224029972.72680664,99459877079.02746582,-4836765055.16074848,-5566391404.00666237,125704723947.88677979
6393600.00000000,-7520354786.40223598,93403346926.30485535,-77125117938.01824951,-93723453476.42471313,-182793149633.77215576,99440979079.52412415,-4976103040.57250595,-5721034024.10883331,125205418342.99873352
6480000.00000000,-7634928218.00808048,93213795854.80979919,-76671587399.89802551,-93546635649.07041931,-182356104829.54565430,99421603486.89155579,-5117704078.41949749,-5877939988.96649647,124701080762.98103333
6566400.00000000,-7749898921.31642342,93021097435.73594666,-76213620902.31394958,-93367041900.40219116,-181912853354.56042480,99401740076.06068420,-5261584447.95230198,-6037118440.10943222,124191686051.83180237
6652800.00000000,-7865268628.86818027,92825224600.84507751,-75751189579.41035461,-93184653450.45326233,-181463352016.29638672,99381378322.08563232,-5407760763.46153831,-6198578734.75989723,123677208652.17736816
6739200.00000000,-7981039142.34512424,92626149647.02012634,-75284263991.62423706,-92999451090.08749390,-181007556609.34765625,99360507388.41511536,-5556249981.98113251,-6362330449.42743874,123157622601.11523438
