time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
6220800.00000000,-4808502314.69306946,93784159350.80209351,-74276701058.92695618,-94336559778.67945862,-184476665638.59143066,100080854050.62435913,-4639257906.62749290,-6153893712.21059704,132710567008.30253601
6307200.00000000,-4889481884.44051838,93601582702.84358215,-73782370086.18524170,-94172980801.75219727,-184076333136.75436401,100081204639.73309326,-4773697313.80730247,-6328449566.08913898,132332525446.45208740
6393600.00000000,-4970911922.41105366,93415953239.30508423,-73283754442.90469360,-94006784389.62074280,-183670289294.31790161,100081458634.12055969,-4910303687.96822357,-6505663944.98710442,131950295808.78407288
6480000.00000000,-5052795244.88284111,93227247034.20776367,-72780829580.31378174,-93837953170.39367676,-183258496050.95104980,100081611320.67260742,-5049091584.72350693,-6685550983.25664043,131563858259.64111328
6566400.00000000,-5135134753.25881195,93035439639.60020447,-72273570497.30119324,-93666469365.14297485,-182840914440.02694702,100081657839.99221802,-5190075881.59823418,-6868125199.57317352,131173192657.30891418
6652800.00000000,-5217933436.62597370,92840506071.73841858,-71761951731.31326294,-93492314777.24114990,-182417504564.40615845,100081593180.24273682,-5333271786.13289928,-7053401507.33216858,130778278551.07046509
6739200.00000000,-5301194374.42069626,92642420796.77861023,-71245947349.00889587,-93315470781.29399109,-181988225571.28112793,100081412170.69238281,-5478694844.28534317,-7241395225.49738884,130379095178.31645203
6825600.00000000,-5384920739.20501232,92441157715.96240234,-70725530936.66517639,-93135918311.65083313,-181553035626.03863525,100081109474.94287109,-5626360949.14418030,-7432122089.92368603,129975621461.72222900
6912000.00000000,-5469115799.55921555,92236690150.27343750,-70200675590.32679749,-92953637850.47325134,-181111891885.09451294,100080679583.82373047,-5776286349.96756554,-7625598265.17883396,129567836006.50297546
6998400.00000000,-5553782923.09635639,92028990824.54312134,-69671353905.69244385,-92768609415.34178162,-180664750467.65258789,100080116807.93283081,-5928487661.56189156,-7821840356.89043331,129155717097.75952148
7084800.00000000,-5638925579.60453224,91818031850.98233032,-69137537967.73078918,-92580812546.37965393,-180211566426.33660889,100079415269.80218506,-6082981874.01584053,-8020865424.64561367,128739242697.92851257
7171200.00000000,-5724547344.32320309,91603784712.11454773,-68599199340.01885986,-92390226292.87078857,-179752293716.64141846,100078568895.66683960,-6239786362.80603790,-8222690995.47302246,128318390444.35191345
7257600.00000000,-5810651901.36010551,91386220243.08503723,-68056309053.79524994,-92196829199.34841919,-179286885165.14642334,100077571406.81297302,-6398918899.29150200,-8427335077.93851566,127893137646.98216248
7344000.00000000,-5897243047.25572491,91165308613.31903076,-67508837596.72061157,-92000599291.12928772,-178815292436.43090820,100076416310.47976685,-6560397661.61502171,-8634816176.88803291,127463461286.24072266
7430400.00000000,-5984324694.70266151,90941019307.50091553,-66956754901.33753967,-91801514059.26670837,-178337465998.62747192,100075096890.28784180,-6724241246.03066921,-8845153308.87335205,127029338011.04956055
7516800.00000000,-6071900876.42765713,90713321105.84475708,-66400030333.22206879,-91599550444.89465332,-177853355087.54586792,100073606196.16523743,-6890468678.67772675,-9058366018.29880333,126590744137.05670166
7603200.00000000,-6159975749.24449348,90482182063.62518311,-65838632678.81864929,-91394684822.93302917,-177362907669.29550171,100071937033.73954773,-7059099427.82251358,-9274474394.32959557,126147655645.07896423
7689600.00000000,-6248553598.28644276,90247569489.93605042,-65272530132.95046997,-91186892985.12274170,-176866070401.33078003,100070081953.16305542,-7230153416.59084797,-9493499088.60518837,125700048179.78727722
7776000.00000000,-6337638841.42746067,90009449925.64257812,-64701690285.99690247,-90976150122.35733032,-176362788591.83840942,100068033237.33482361,-7403651036.21523762,-9715461333.80410004,125247897048.66194153
7862400.00000000,-6427236033.90184879,89767789120.49108887,-64126080110.72964478,-90762430806.27584839,-175853006157.38122559,100065782889.48152161,-7579613159.82232952,-9940382963.10980225,124791177221.24798584
7948800.00000000,-6517349873.13267899,89522552009.33850098,-63545665948.79920197,-90545708970.07965088,-175336665578.70764160,100063322620.05566406,-7758061156.78769684,-10168286430.63080406,124329863328.74340820
8035200.00000000,-6607985203.77989197,89273702687.46194458,-62960413496.86318970,-90325957888.53343201,-174813707854.63009644,100060643832.90692139,-7939016907.68670177,-10399194832.83179283,123863929663.95614624
8121600.00000000,-6699147023.01961994,89021204384.90660095,-62370287792.34789276,-90103150157.10845947,-174284072453.86975098,100057737610.67903137,-8122502819.87194252,-10633131931.03678513,123393350181.66874695
8208000.00000000,-6790840486.06698322,88765019439.82804871,-61775253198.83464813,-89877257670.22334290,-173747697264.75836182,100054594699.38107300,-8308541843.70969200,-10870122175.06961632,122918098499.45346069
8294400.00000000,-6883070911.95534229,88505109270.78282166,-61175273391.06243134,-89648251598.53488159,-173204518542.68087769,100051205492.07794189,-8497157489.50979614,-11110190728.10187149,122438147898.98437500
